time,body0_x,body0_y,body0_z,body1_x,body1_y,body1_z,body2_x,body2_y,body2_z
69120000.00000000,-7625281788.44142151,-661177039454.00659180,1174688953790.99560547,-186922125268.11322021,49845356389.24424744,-893229095994.05041504,53075407056.55435944,545891683064.76141357,-38147857796.94396973
69206400.00000000,-7562542763.34976101,-662154308322.33862305,1176483001238.33471680,-187177565027.01220703,49997310539.88029480,-894843142310.60266113,53216267790.36167145,546760197782.45739746,-38211218927.73085022
69292800.00000000,-7499804710.30149078,-663131515923.57714844,1178276961618.85229492,-187432956031.27798462,50149345070.29319000,-896456987979.66284180,53357080741.57917023,547628570853.28308105,-38274693639.18837738
69379200.00000000,-7437067626.59938908,-664108662448.42529297,1180070835206.64672852,-187688298449.76989746,50301459678.79467010,-898070633666.39636230,53497846076.36898804,548496802769.62976074,-38338281540.24932861
69465600.00000000,-7374331509.55889988,-665085748086.68823242,1181864622274.50219727,-187943592450.44018555,50453654065.43298340,-899684080032.54418945,53638563959.99877167,549364894021.25439453,-38401982241.95697021
69552000.00000000,-7311596356.50804710,-666062773027.27905273,1183658323093.89697266,-188198838200.34051514,50605927931.97938538,-901297327736.44653320,53779234556.84825134,550232845095.29882812,-38465795357.44949341
69638400.00000000,-7248862164.78735065,-667039737458.22424316,1185451937935.01245117,-188454035865.62869263,50758280981.91477966,-902910377433.06689453,53919858030.41572571,551100656476.30859375,-38529720501.94461823
69724800.00000000,-7186128931.74973965,-668016641566.66931152,1187245467066.74096680,-188709185611.57507324,50910712920.41650391,-904523229774.01562500,54060434543.32447815,551968328646.25195312,-38593757292.72431946
69811200.00000000,-7123396654.76047134,-668993485538.88452148,1189038910756.69433594,-188964287602.56903076,51063223454.34520721,-906135885407.57348633,54200964257.32917786,552835862084.53845215,-38657905349.11970520
69897600.00000000,-7060665331.19704628,-669970269560.27014160,1190832269271.21166992,-189219342002.12545776,51215812292.23190308,-907748344978.71459961,54341447333.32217407,553703257268.03747559,-38722164292.49603271
69984000.00000000,-6997934958.44912529,-670946993815.36206055,1192625542875.36840820,-189474348972.89096069,51368479144.26511383,-909360609129.12951660,54481883931.33974457,554570514671.09619141,-38786533746.23786163
70070400.00000000,-6935205533.91845036,-671923658487.83691406,1194418731832.98339844,-189729308676.65020752,51521223722.27813721,-910972678497.24804688,54622274210.56830597,555437634765.55810547,-38851013335.73434448
70156800.00000000,-6872477055.01876163,-672900263760.51794434,1196211836406.62768555,-189984221274.33212280,51674045739.73645782,-912584553718.26208496,54762618329.35054779,556304618020.78076172,-38915602688.36466980
70243200.00000000,-6809749519.17571831,-673876809815.37976074,1198004856857.63208008,-190239086926.01614380,51826944911.72528076,-914196235424.14746094,54902916445.19152069,557171464903.65380859,-38980301433.48360443
70329600.00000000,-6747022923.82681847,-674853296833.55407715,1199797793446.09497070,-190493905790.93817139,51979920954.93715668,-915807724243.68664551,55043168714.76466370,558038175878.61633301,-39045109202.40720367
70416000.00000000,-6684297266.42132187,-675829724995.33483887,1201590646430.89038086,-190748678027.49676514,52132973587.65975189,-917419020802.49060059,55183375293.91777039,558904751407.67443848,-39110025628.39863586
70502400.00000000,-6621572544.42016792,-676806094480.18310547,1203383416069.67578125,-191003403793.25906372,52286102529.76372528,-919030125723.02038574,55323536337.67892456,559771191950.41870117,-39175050346.65412140
70588800.00000000,-6558848755.29590416,-677782405466.73266602,1205176102618.89941406,-191258083244.96673584,52439307502.69072723,-920641039624.60913086,55463652000.26233673,560637497964.04125977,-39240182994.28904724
70675200.00000000,-6496125896.53260422,-678758658132.79504395,1206968706333.80859375,-191512716538.54190063,52592588229.44149780,-922251763123.48315430,55603722435.07418823,561503669903.35290527,-39305423210.32415009
70761600.00000000,-6433403965.62579346,-679734852655.36425781,1208761227468.45654297,-191767303829.09289551,52745944434.56410980,-923862296832.78344727,55743747794.71836853,562369708220.79956055,-39370770635.67187500
70848000.00000000,-6370682960.08237648,-680710989210.62231445,1210553666275.71069336,-192021845270.92013550,52899375844.14227295,-925472641362.58654785,55883728231.00218964,563235613366.47949219,-39436224913.12281799
70934400.00000000,-6307962877.42055702,-681687067973.94384766,1212346023007.25927734,-192276341017.52182007,53052882185.78382111,-927082797319.92553711,56023663894.94205475,564101385788.15954590,-39501785687.33232880
71020800.00000000,-6245243715.16976833,-682663089119.90136719,1214138297913.61938477,-192530791221.59957886,53206463188.60922241,-928692765308.81066895,56163554936.76903534,564967025931.29174805,-39567452604.80721283
71107200.00000000,-6182525470.87059689,-683639052822.27001953,1215930491244.14404297,-192785196035.06414795,53360118583.24027252,-930302545930.24987793,56303401505.93444061,565832534239.02929688,-39633225313.89253235
71193600.00000000,-6119808142.07471180,-684614959254.03234863,1217722603247.02954102,-193039555609.04092407,53513848101.78885651,-931912139782.26928711,56443203751.11534119,566697911152.24304199,-39699103464.75859070
71280000.00000000,-6057091726.34479046,-685590808587.38354492,1219514634169.32275391,-193293870093.87548828,53667651477.84582520,-933521547459.93322754,56582961820.21998596,567563157109.53723145,-39765086709.38796234
71366400.00000000,-5994376221.25444794,-686566600993.73571777,1221306584256.92846680,-193548139639.13909912,53821528446.46997070,-935130769555.36425781,56722675860.39324188,568428272547.26525879,-39831174701.56268311
71452800.00000000,-5931661624.38816547,-687542336643.72326660,1223098453754.61596680,-193802364393.63406372,53975478744.17711639,-936739806657.76281738,56862346018.02193451,569293257899.54565430,-39897367096.85154724
