time,body0_x,body0_y,body0_z,body1_x,body1_y,body1_z
38361600.00000000,103316463406.38786316,-76245421761.98966980,0.00000000,-103316463406.38786316,76245421761.98966980,0.00000000
38448000.00000000,104403794916.85539246,-75617466723.40525818,0.00000000,-104403794916.85539246,75617466723.40525818,0.00000000
38534400.00000000,105478975370.45315552,-74980608318.48547363,0.00000000,-105478975370.45315552,74980608318.48547363,0.00000000
38620800.00000000,106542021542.11705017,-74335023769.06268311,0.00000000,-106542021542.11705017,74335023769.06268311,0.00000000
38707200.00000000,107592950944.18757629,-73680887023.84965515,0.00000000,-107592950944.18757629,73680887023.84965515,0.00000000
38793600.00000000,108631781773.63708496,-73018368843.28022766,0.00000000,-108631781773.63708496,73018368843.28022766,0.00000000
38880000.00000000,109658532862.02983093,-72347636882.06979370,0.00000000,-109658532862.02983093,72347636882.06979370,0.00000000
38966400.00000000,110673223628.07244873,-71668855769.55496216,0.00000000,-110673223628.07244873,71668855769.55496216,0.00000000
39052800.00000000,111675874032.61975098,-70982187187.87113953,0.00000000,-111675874032.61975098,70982187187.87113953,0.00000000
39139200.00000000,112666504536.00830078,-70287789948.02603149,0.00000000,-112666504536.00830078,70287789948.02603149,0.00000000
39225600.00000000,113645136057.59704590,-69585820063.92602539,0.00000000,-113645136057.59704590,69585820063.92602539,0.00000000
39312000.00000000,114611789937.40083313,-68876430824.41181946,0.00000000,-114611789937.40083313,68876430824.41181946,0.00000000
39398400.00000000,115566487899.70883179,-68159772863.35826874,0.00000000,-115566487899.70883179,68159772863.35826874,0.00000000
39484800.00000000,116509252018.58554077,-67435994227.89266205,0.00000000,-116509252018.58554077,67435994227.89266205,0.00000000
39571200.00000000,117440104685.15771484,-66705240444.78450012,0.00000000,-117440104685.15771484,66705240444.78450012,0.00000000
39657600.00000000,118359068576.59567261,-65967654585.05864716,0.00000000,-118359068576.59567261,65967654585.05864716,0.00000000
39744000.00000000,119266166626.70220947,-65223377326.88275146,0.00000000,-119266166626.70220947,65223377326.88275146,0.00000000
39830400.00000000,120161421998.02719116,-64472547016.77854156,0.00000000,-120161421998.02719116,64472547016.77854156,0.00000000
39916800.00000000,121044858055.42997742,-63715299729.20553589,0.00000000,-121044858055.42997742,63715299729.20553589,0.00000000
40003200.00000000,121916498341.01618958,-62951769324.56457520,0.00000000,-121916498341.01618958,62951769324.56457520,0.00000000
40089600.00000000,122776366550.37916565,-62182087505.66727448,0.00000000,-122776366550.37916565,62182087505.66727448,0.00000000
40176000.00000000,123624486510.07986450,-61406383872.71653748,0.00000000,-123624486510.07986450,61406383872.71653748,0.00000000
40262400.00000000,124460882156.30296326,-60624785976.84197235,0.00000000,-124460882156.30296326,60624785976.84197235,0.00000000
40348800.00000000,125285577514.62960815,-59837419372.23294067,0.00000000,-125285577514.62960815,59837419372.23294067,0.00000000
40435200.00000000,126098596680.87084961,-59044407666.91092682,0.00000000,-126098596680.87084961,59044407666.91092682,0.00000000
40521600.00000000,126899963802.90832520,-58245872572.18164825,0.00000000,-126899963802.90832520,58245872572.18164825,0.00000000
40608000.00000000,127689703063.49194336,-57441933950.80638123,0.00000000,-127689703063.49194336,57441933950.80638123,0.00000000
40694400.00000000,128467838663.94647217,-56632709863.93080902,0.00000000,-128467838663.94647217,56632709863.93080902,0.00000000
40780800.00000000,129234394808.74188232,-55818316616.80859375,0.00000000,-129234394808.74188232,55818316616.80859375,0.00000000
40867200.00000000,129989395690.88426208,-54998868803.35599518,0.00000000,-129989395690.88426208,54998868803.35599518,0.00000000
40953600.00000000,130732865478.08654785,-54174479349.57263184,0.00000000,-130732865478.08654785,54174479349.57263184,0.00000000
41040000.00000000,131464828299.68035889,-53345259555.86263275,0.00000000,-131464828299.68035889,53345259555.86263275,0.00000000
41126400.00000000,132185308234.23222351,-52511319138.28939819,0.00000000,-132185308234.23222351,52511319138.28939819,0.00000000
41212800.00000000,132894329297.82926941,-51672766268.79616547,0.00000000,-132894329297.82926941,51672766268.79616547,0.00000000
41299200.00000000,133591915433.00140381,-50829707614.42378998,0.00000000,-133591915433.00140381,50829707614.42378998,0.00000000
41385600.00000000,134278090498.24855042,-49982248375.55610657,0.00000000,-134278090498.24855042,49982248375.55610657,0.00000000
41472000.00000000,134952878258.14314270,-49130492323.22238922,0.00000000,-134952878258.14314270,49130492323.22238922,0.00000000
41558400.00000000,135616302373.97955322,-48274541835.48561096,0.00000000,-135616302373.97955322,48274541835.48561096,0.00000000
41644800.00000000,136268386394.94378662,-47414497932.94429016,0.00000000,-136268386394.94378662,47414497932.94429016,0.00000000
41731200.00000000,136909153749.77767944,-46550460313.37494659,0.00000000,-136909153749.77767944,46550460313.37494659,0.00000000
41817600.00000000,137538627738.91360474,-45682527385.54137421,0.00000000,-137538627738.91360474,45682527385.54137421,0.00000000
41904000.00000000,138156831527.05657959,-44810796302.19614410,0.00000000,-138156831527.05657959,44810796302.19614410,0.00000000
41990400.00000000,138763788136.19198608,-43935362992.29904175,0.00000000,-138763788136.19198608,43935362992.29904175,0.00000000
42076800.00000000,139359520438.99819946,-43056322192.47640228,0.00000000,-139359520438.99819946,43056322192.47640228,0.00000000
42163200.00000000,139944051152.64422607,-42173767477.74454498,0.00000000,-139944051152.64422607,42173767477.74454498,0.00000000
42249600.00000000,140517402832.95394897,-41287791291.51991272,0.00000000,-140517402832.95394897,41287791291.51991272,0.00000000
42336000.00000000,141079597868.91888428,-40398484974.93779755,0.00000000,-141079597868.91888428,40398484974.93779755,0.00000000
42422400.00000000,141630658477.54272461,-39505938795.50086212,0.00000000,-141630658477.54272461,39505938795.50086212,0.00000000
42508800.00000000,142170606699.00158691,-38610241975.07815552,0.00000000,-142170606699.00158691,38610241975.07815552,0.00000000
42595200.00000000,142699464392.10464478,-37711482717.27456665,0.00000000,-142699464392.10464478,37711482717.27456665,0.00000000
42681600.00000000,143217253230.04071045,-36809748234.19017792,0.00000000,-143217253230.04071045,36809748234.19017792,0.00000000
42768000.00000000,143723994696.39688110,-35905124772.58837891,0.00000000,-143723994696.39688110,35905124772.58837891,0.00000000
42854400.00000000,144219710081.43630981,-34997697639.49104309,0.00000000,-144219710081.43630981,34997697639.49104309,0.00000000
42940800.00000000,144704420478.62246704,-34087551227.21852493,0.00000000,-144704420478.62246704,34087551227.21852493,0.00000000
43027200.00000000,145178146781.37823486,-33174769037.89179993,0.00000000,-145178146781.37823486,33174769037.89179993,0.00000000
43113600.00000000,145640909680.06842041,-32259433707.41342545,0.00000000,-145640909680.06842041,32259433707.41342545,0.00000000
43200000.00000000,146092729659.19512939,-31341627028.94367218,0.00000000,-146092729659.19512939,31341627028.94367218,0.00000000
43286400.00000000,146533626994.79574585,-30421429975.88759613,0.00000000,-146533626994.79574585,30421429975.88759613,0.00000000
43372800.00000000,146963621752.03390503,-29498922724.40843964,0.00000000,-146963621752.03390503,29498922724.40843964,0.00000000
43459200.00000000,147382733782.97436523,-28574184675.48226547,0.00000000,-147382733782.97436523,28574184675.48226547,0.00000000
43545600.00000000,147790982724.53283691,-27647294476.50833893,0.00000000,-147790982724.53283691,27647294476.50833893,0.00000000
43632000.00000000,148188387996.59265137,-26718330042.48936844,0.00000000,-148188387996.59265137,26718330042.48936844,0.00000000
43718400.00000000,148574968800.28045654,-25787368576.79527283,0.00000000,-148574968800.28045654,25787368576.79527283,0.00000000
43804800.00000000,148950744116.39328003,-24854486591.52382278,0.00000000,-148950744116.39328003,24854486591.52382278,0.00000000
43891200.00000000,149315732703.96990967,-23919759927.47112274,0.00000000,-149315732703.96990967,23919759927.47112274,0.00000000
43977600.00000000,149669953098.99993896,-22983263773.72450256,0.00000000,-149669953098.99993896,22983263773.72450256,0.00000000
44064000.00000000,150013423613.26403809,-22045072686.89010620,0.00000000,-150013423613.26403809,22045072686.89010620,0.00000000
44150400.00000000,150346162333.29919434,-21105260609.96709442,0.00000000,-150346162333.29919434,21105260609.96709442,0.00000000
44236800.00000000,150668187119.48339844,-20163900890.88006210,0.00000000,-150668187119.48339844,20163900890.88006210,0.00000000
44323200.00000000,150979515605.23419189,-19221066300.68099976,0.00000000,-150979515605.23419189,19221066300.68099976,0.00000000
44409600.00000000,151280165196.31585693,-18276829051.43178177,0.00000000,-151280165196.31585693,18276829051.43178177,0.00000000
44496000.00000000,151570153070.25024414,-17331260813.77790451,0.00000000,-151570153070.25024414,17331260813.77790451,0.00000000
44582400.00000000,151849496175.82684326,-16384432734.22393799,0.00000000,-151849496175.82684326,16384432734.22393799,0.00000000
44668800.00000000,152118211232.70739746,-15436415452.12082863,0.00000000,-152118211232.70739746,15436415452.12082863,0.00000000
44755200.00000000,152376314731.12094116,-14487279116.37502670,0.00000000,-152376314731.12094116,14487279116.37502670,0.00000000
44841600.00000000,152623822931.64532471,-13537093401.88906860,0.00000000,-152623822931.64532471,13537093401.88906860,0.00000000
44928000.00000000,152860751865.07162476,-12585927525.74308395,0.00000000,-152860751865.07162476,12585927525.74308395,0.00000000
45014400.00000000,153087117332.34753418,-11633850263.12641335,0.00000000,-153087117332.34753418,11633850263.12641335,0.00000000
45100800.00000000,153302934904.59667969,-10680929963.02833748,0.00000000,-153302934904.59667969,10680929963.02833748,0.00000000
45187200.00000000,153508219923.21066284,-9727234563.69669342,0.00000000,-153508219923.21066284,9727234563.69669342,0.00000000
45273600.00000000,153702987500.01074219,-8772831607.87294197,0.00000000,-153702987500.01074219,8772831607.87294197,0.00000000
45360000.00000000,153887252517.47650146,-7817788257.81207466,0.00000000,-153887252517.47650146,7817788257.81207466,0.00000000
45446400.00000000,154061029629.03863525,-6862171310.09553909,0.00000000,-154061029629.03863525,6862171310.09553909,0.00000000
45532800.00000000,154224333259.43362427,-5906047210.24519539,0.00000000,-154224333259.43362427,5906047210.24519539,0.00000000
45619200.00000000,154377177605.11782837,-4949482067.14613056,0.00000000,-154377177605.11782837,4949482067.14613056,0.00000000
45705600.00000000,154519576634.73889160,-3992541667.28600693,0.00000000,-154519576634.73889160,3992541667.28600693,0.00000000
45792000.00000000,154651544089.66232300,-3035291488.81844473,0.00000000,-154651544089.66232300,3035291488.81844473,0.00000000
45878400.00000000,154773093484.55154419,-2077796715.45779514,0.00000000,-154773093484.55154419,2077796715.45779514,0.00000000
45964800.00000000,154884238107.99935913,-1120122250.21250868,0.00000000,-154884238107.99935913,1120122250.21250868,0.00000000
46051200.00000000,154984991023.20956421,-162332728.96416891,0.00000000,-154984991023.20956421,162332728.96416891,0.00000000
46137600.00000000,155075365068.72683716,795507466.10087907,0.00000000,-155075365068.72683716,-795507466.10087907,0.00000000
46224000.00000000,155155372859.21374512,1753334193.20049906,0.00000000,-155155372859.21374512,-1753334193.20049906,0.00000000
46310400.00000000,155225026786.27352905,2711083537.79965353,0.00000000,-155225026786.27352905,-2711083537.79965353,0.00000000
46396800.00000000,155284339019.31753540,3668691799.58064604,0.00000000,-155284339019.31753540,-3668691799.58064604,0.00000000
46483200.00000000,155333321506.47604370,4626095479.53426552,0.00000000,-155333321506.47604370,-4626095479.53426552,0.00000000
46569600.00000000,155371985975.55191040,5583231267.16547966,0.00000000,-155371985975.55191040,-5583231267.16547966,0.00000000
46656000.00000000,155400343935.01583862,6540036027.80743408,0.00000000,-155400343935.01583862,-6540036027.80743408,0.00000000
46742400.00000000,155418406675.04275513,7496446790.03760338,0.00000000,-155418406675.04275513,-7496446790.03760338,0.00000000
46828800.00000000,155426185268.58847046,8452400733.19003677,0.00000000,-155426185268.58847046,-8452400733.19003677,0.00000000
46915200.00000000,155423690572.50625610,9407835174.95770836,0.00000000,-155423690572.50625610,-9407835174.95770836,0.00000000
47001600.00000000,155410933228.70278931,10362687559.07909393,0.00000000,-155410933228.70278931,-10362687559.07909393,0.00000000
47088000.00000000,155387923665.33306885,11316895443.10314178,0.00000000,-155387923665.33306885,-11316895443.10314178,0.00000000
47174400.00000000,155354672098.03414917,12270396486.22688103,0.00000000,-155354672098.03414917,-12270396486.22688103,0.00000000
47260800.00000000,155311188531.19735718,13223128437.20001411,0.00000000,-155311188531.19735718,-13223128437.20001411,0.00000000
47347200.00000000,155257482759.27911377,14175029122.29082680,0.00000000,-155257482759.27911377,-14175029122.29082680,0.00000000
47433600.00000000,155193564368.15011597,15126036433.30789757,0.00000000,-155193564368.15011597,-15126036433.30789757,0.00000000
47520000.00000000,155119442736.48312378,16076088315.67205620,0.00000000,-155119442736.48312378,-16076088315.67205620,0.00000000
47606400.00000000,155035127037.17953491,17025122756.53316307,0.00000000,-155035127037.17953491,-17025122756.53316307,0.00000000
47692800.00000000,154940626238.83480835,17973077772.92625809,0.00000000,-154940626238.83480835,-17973077772.92625809,0.00000000
